RuleId,Title,Severity,Citations,Implemented,Tested
XTCE-1.2-R01-ambiguous-time-units-flagged,Usage of ambiguous calendar-variable time units (days/months/years) should be flagged,warning,"TimeUnitsType (candidate #106, XSD line 5273)",partial,yes
XTCE-1.2-R02-array-dim-count-match-type,Array ref entry dimension count must match the referenced ParameterType's dimension count,error,"ArrayParameterRefEntryType (candidate #5, XSD line 369)",partial,yes
XTCE-1.2-R03-checksum-custom-requires-inputalgorithm,"ChecksumType: if name=""custom"", InputAlgorithm must be set",error,"ChecksumType/name (candidate #49, XSD line 2393)",yes,yes
XTCE-1.2-R04-container-segments-no-overlap,Container/parameter segments composing a whole must not overlap in sequence,error,"ContainerSegmentRefEntryType (candidate #10, XSD line 471); ParameterSegmentRefEntryType (candidate #13, XSD line 594)",partial,yes
XTCE-1.2-R05-dim-subset-lt-type,Subsetting dimension bounds must be less than the referenced type's dimension bounds,error,"ArgumentArrayArgumentRefEntryType/DimensionList (candidate #1, XSD line 244); ArgumentArrayParameterRefEntryType/DimensionList (candidate #2, XSD line 265); ArrayParameterRefEntryType/DimensionList (candidate #6, XSD line 379)",partial,yes
XTCE-1.2-R06-dimensionlist-order-must-ascend,DimensionList dimension order must ascend,error,"DimensionListType (candidate #61, XSD line 3296)",yes,yes
XTCE-1.2-R07-enum-initial-value-must-be-valid-label,Enumerated type's initial/default value must be a valid label in its EnumerationList,error,"ArgumentEnumeratedDataType/initialValue (candidate #62, XSD line 3336); EnumeratedDataType/initialValue (candidate #63, XSD line 3359)",yes,yes
XTCE-1.2-R08-location-in-container-flags,LocationInContainerInBits: negative containerStart/containerEnd flagged as likely errors; nextEntry attribute usage flagged as deprecated,warning,"LocationInContainerInBitsType (candidate #12, XSD line 550)",yes,yes
XTCE-1.2-R09-messagetype-containerref-must-be-root,MessageType's ContainerRef must reference a root-level container,error,"MessageType/ContainerRef (candidate #16, XSD line 736)",partial,yes
XTCE-1.2-R10-nextcontainer-ref-must-resolve,RestrictionCriteria's NextContainer reference must resolve to an existing Container,error,"RestrictionCriteriaType/NextContainer (candidate #19, XSD line 817)",yes,yes
XTCE-1.2-R11-no-dangling-name-references,A name reference must not be dangling — it must resolve to an existing named item (foundational referential-integrity rule),error,"NameReferenceType (candidate #91, XSD line 5013)",partial,yes
XTCE-1.2-R12-no-duplicate-verifiers-post-inheritance,No duplicate verifiers in CompleteVerifiers/ExecutionVerifiers after resolving BaseMetaCommand inheritance,error,"VerifierSetType (candidate #48, XSD line 2344)",yes,yes
XTCE-1.2-R13-spline-order-requires-min-points,SplineCalibrator: order N requires at least N+1 calibration points,error,"SplineCalibratorType/order (candidate #55, XSD line 2772)",yes,yes
XTCE-1.2-R14-time-datatype-requires-encoding,"BaseTimeDataType must always have a data encoding set, even when not telemetered (exception to other primitives)",error,"BaseTimeDataType (candidate #59, XSD line 3166)",yes,yes
XTCE-1.2-R15-typed-value-valid-for-type,"String-typed value literals (initialValue, comparison value, argument assignment, etc.) must be valid for and within range of their declared/referenced data type",error,"ParameterType/initialValue (candidate #29, XSD line 1069); ArgumentAssignmentType/argumentValue (candidate #33, XSD line 1327); ArgumentComparisonType/value (candidate #34, XSD line 1354); ArgumentType/initialValue (candidate #39, XSD line 1632); ParameterToSetType/NewValue (candidate #45, XSD line 2204); ComparisonCheckType/Value (candidate #85, XSD line 4377); ComparisonType/value (candidate #88, XSD line 4423)",partial,yes
XTCE-1.2-R16-no-inheritance-cycles,"Inheritance chains (parameter-type baseType, container BaseContainer, MetaCommand BaseMetaCommand) must not form loops",error,"CCSDS 660.1-G-2 4.3.2.2.3.1(d); 4.3.4.9.5.2(d); 4.4.5.2.3.4(b)",no,no
XTCE-1.2-R17-string-length-spec-conflicts,"String encodings must not specify conflicting length-determination methods (SizeInBits+TerminationChar+LeadingSize; or more than one variable-length method)",error,"CCSDS 660.1-G-2 4.3.2.2.5.5 RECOMMENDATIONs",no,no
XTCE-1.2-R18-type-inheritance-override-restrictions,"A derived parameter type may not override non-overridable parent items (characterWidth; Integer sizeInBits/signed)",error,"CCSDS 660.1-G-2 Table 4-2",no,no
XTCE-1.2-R19-changepersecond-requires-positive-span,"spanOfInterestInSeconds must be positive when changeType=changePerSecond",error,"CCSDS 660.1-G-2 4.3.2.3.7.3.5",no,no
XTCE-1.2-R20-telemetered-parameter-requires-encoding,"A parameter whose dataSource is telemetered (explicitly or implied) should have a DataEncoding on its type",warning,"CCSDS 660.1-G-2 4.3.2.2.5.x RECOMMENDATION",no,no
XTCE-1.2-R21-metacommand-commandcontainer-inheritance-requires-basecontainer,"MetaCommand/CommandContainer content is only inherited when BaseContainer is explicitly supplied between child and parent",error,"CCSDS 660.1-G-2 4.4.5.2.3.4(c)",no,no
